#BZ	E
#BZ	E
#BZ	E
#BZ	E
#BZ	E
#BZ	E
#BZ	E
#BZ	E
#BZ	E
#BZ	E
#BZ	E
#BZ	E
15	-4.442585557165672
#BZ	E
#BZ	E
15	-4.442585557165672
16	-4.442331420418598
17	-4.442107177590324
18	-4.441907848079299
#BZ	E
15	-1.5941510900044298
16	-1.5939542138623528
17	-1.5937805182059428
18	-1.5936261374633838
19	-1.5934880201530706
20	-1.593363725325744
21	-1.5932512771672322
22	-1.593149059258217
23	-1.5930557364219715
24	-1.5929701961135039
25	-1.5928915038781502
26	-1.5928188690913365
27	-1.5927516183136237
28	-1.592689174356948
29	-1.5926310396832108
#BZ	E
15	-1.5941510900044298
16	-1.5939542138623528
17	-1.5937805182059428
18	-1.5936261374633838
19	-1.5934880201530706
20	-1.593363725325744
#BZ	E
15	-1.5941510900044298
#BZ	E
15	-1.5941510900044298
#BZ	E
#BZ	E
#BZ	E
15	-1.5941510900044298
#BZ	E
0	-1.9999999999999947
1	-1.6368316925405408
2	-1.6145127084142898
3	-1.6067395851235498
4	-1.6028162242581376
5	-1.6004551745856355
6	-1.5988794446368404
7	-1.597753501653199
8	-1.596908975134597
9	-1.5962521521215294
10	-1.5957267485804572
11	-1.595296927973222
12	-1.594938792510062
13	-1.594635795408057
14	-1.5943761170844875
15	-1.5941510900044298
16	-1.5939542138623528
17	-1.5937805182059428
18	-1.5936261374633838
19	-1.5934880201530706
#BZ	E
15	-1.5941510900044298
#BZ	E
#BZ	E
#BZ	E
#BZ	E
#BZ	E
#BZ	E
#BZ	E
